t,x,y,z,dist_to_sep
3.626367471879199833e+00,-1.299872522317151446e+00,-6.887181920884949404e-01,4.406600829457014701e-01,1.471054493344416514e+00
3.727099901653621927e+00,-1.214134693576951918e+00,-7.997661105671314274e-01,4.448627634491582050e-01,1.453873751657576374e+00
3.827832331428044466e+00,-1.099600321638702471e+00,-9.002440770396600289e-01,4.606978805699523671e-01,1.421112333910633296e+00
3.928564761202466560e+00,-9.774343868593465823e-01,-9.813280345901985724e-01,4.676021407442273459e-01,1.385056927381603575e+00
4.029297190976889098e+00,-8.675730875669658282e-01,-1.070799945785855245e+00,4.804322379647061880e-01,1.378149333768103890e+00
4.130029620751311192e+00,-7.445569654845775043e-01,-1.137081586622710194e+00,4.950128919933015070e-01,1.359161362564438980e+00
4.230762050525733287e+00,-6.190013841692820762e-01,-1.187641612801333402e+00,5.066077474816687021e-01,1.339274174342520274e+00
4.331494480300155381e+00,-4.938252664284449311e-01,-1.209161879365557413e+00,5.181095960394513922e-01,1.306114789853469071e+00
4.432226910074577475e+00,-3.517012837375706469e-01,-1.233563699681032855e+00,5.292392063451671902e-01,1.282721011815668666e+00
4.532959339848999569e+00,-2.250729874660890584e-01,-1.253320426801350918e+00,5.474838517485975942e-01,1.273369522929000741e+00
4.633691769623421663e+00,-8.540190671382544285e-02,-1.240385978885907070e+00,5.546627091779602337e-01,1.243322509362356554e+00
4.734424199397844646e+00,2.129579387176519512e-02,-1.230669036751724565e+00,5.652801515537415611e-01,1.230853276737746027e+00
4.835156629172266740e+00,1.362685781103289973e-01,-1.188184311169959928e+00,5.759735447828473465e-01,1.195972860348696765e+00
4.935889058946688834e+00,2.575309853583115927e-01,-1.151161462038105654e+00,5.946411879376344300e-01,1.179616429226607366e+00
5.036621488721110929e+00,3.760100579379462848e-01,-1.115738354537114452e+00,6.015963574774386702e-01,1.177393578823872078e+00
5.137353918495533023e+00,4.774369088116918181e-01,-1.042561129230140438e+00,6.266566895128560244e-01,1.146682044019740054e+00
5.238086348269955117e+00,5.633517349823378151e-01,-9.595188391918809678e-01,6.264976345676278591e-01,1.112673168577253291e+00
5.338818778044377211e+00,6.366447596754594151e-01,-8.969820733808447910e-01,6.345617128281455521e-01,1.099951539836561576e+00
5.439551207818800194e+00,7.305957081522640451e-01,-8.251976165507514116e-01,6.522358558241712068e-01,1.102143908539873429e+00
5.540283637593222288e+00,7.884840345664297923e-01,-7.267250132548177532e-01,6.648053799068276426e-01,1.072304209474330916e+00
5.641016067367644382e+00,8.412373319445023423e-01,-6.236006208443639620e-01,6.762333219205808321e-01,1.047166645274084873e+00
5.741748497142066476e+00,8.838304522819475650e-01,-5.245342386161131465e-01,6.880559595554146535e-01,1.027760884574567601e+00
5.842480926916488571e+00,9.176155065618319950e-01,-4.334615225003298766e-01,7.103515799631684446e-01,1.014843391549174578e+00
5.943213356690910665e+00,9.536975172245818477e-01,-3.437121348900752937e-01,7.140018923416481256e-01,1.013744043647618609e+00
6.043945786465332759e+00,9.656072184297517236e-01,-2.396587975146741156e-01,7.202891161027288325e-01,9.949038343025027320e-01
6.144678216239755741e+00,9.595311297960854580e-01,-1.310928196511450816e-01,7.397128278602813634e-01,9.684447926504844428e-01
6.245410646014177836e+00,9.546032614784598636e-01,-3.471218449588941296e-02,7.410081328449734661e-01,9.552341715923847731e-01
6.346143075788599930e+00,9.658159858588902802e-01,7.862236743889733370e-02,7.633685132055179068e-01,9.690108333771491056e-01
6.446875505563022024e+00,9.316309066120227467e-01,1.629057807916837186e-01,7.715339466974132643e-01,9.457665883134630525e-01
6.547607935337444118e+00,8.774128137663737004e-01,2.327587508077255118e-01,7.871712379084806477e-01,9.077609166729960766e-01
6.648340365111866213e+00,8.386387823706489275e-01,3.094928527606259361e-01,8.000288433985973668e-01,8.939244001625836766e-01
6.749072794886288307e+00,8.240683652969794659e-01,4.142847270814709049e-01,8.095281138678571686e-01,9.223451120790985280e-01
6.849805224660711289e+00,7.401122231846581911e-01,5.053450712979350445e-01,8.031512499523426607e-01,8.961806425004126275e-01
6.950537654435133383e+00,6.759473054749958187e-01,5.445463446315298439e-01,8.269870816320645801e-01,8.680066135868252930e-01
7.051270084209555478e+00,6.331555359787431891e-01,5.665022867429374553e-01,8.527587927633949461e-01,8.495944759857533279e-01
7.152002513983977572e+00,5.632699686822710827e-01,6.400905301458366115e-01,8.839842298665419040e-01,8.526364667322791080e-01
7.252734943758399666e+00,5.171154732772442753e-01,7.508553931169411610e-01,8.753199901146897499e-01,9.116974465663182370e-01
7.353467373532821760e+00,3.986996052542901015e-01,7.759720828109292201e-01,8.838486458390243383e-01,8.724070429173862440e-01
7.454199803307243855e+00,3.103344166526615933e-01,7.617070954154638862e-01,8.850786317993608598e-01,8.224993309209499559e-01
7.554932233081666837e+00,2.444553590366487228e-01,8.337378981268412925e-01,9.270411808644170026e-01,8.688367541343425815e-01
7.655664662856088931e+00,1.731056063604947681e-01,8.375677276577744301e-01,8.909465122008346505e-01,8.552691093259725541e-01
7.756397092630511025e+00,9.510627142344643681e-02,8.808470084323996030e-01,9.597204025679627604e-01,8.859665090331452220e-01
7.857129522404933120e+00,-1.608480141362192417e-02,8.372338944685541184e-01,9.183482582109551151e-01,8.373883895084154316e-01
7.957861952179355214e+00,-1.078288861733079362e-01,7.940692306512114884e-01,9.533323295086151283e-01,8.013569814760355126e-01
8.058594381953778196e+00,-2.030995435600777554e-01,8.205347684948187670e-01,9.335902931076129896e-01,8.452968300562576642e-01
8.159326811728199402e+00,-2.854250660433721998e-01,8.785833603659294333e-01,9.459996196166005067e-01,9.237836269591228611e-01
8.260059241502622385e+00,-3.444523418966231598e-01,8.415489748238235146e-01,1.028395187580781078e+00,9.093140782288023916e-01
8.360791671277043591e+00,-4.145371463290569158e-01,7.348679782218563439e-01,1.006963473896005823e+00,8.437250684331458750e-01
8.461524101051466573e+00,-4.612936615410826446e-01,6.728621240024883488e-01,1.019455505035435916e+00,8.158034567805647619e-01
8.562256530825887779e+00,-5.787549526389687005e-01,6.658982602312881749e-01,1.032889441772070871e+00,8.822572120324045919e-01
8.662988960600310762e+00,-6.617760148608207160e-01,5.976827277583171005e-01,1.041926891461670390e+00,8.917242493650667789e-01
8.763721390374733744e+00,-6.936090915102821608e-01,5.518820300535682843e-01,1.041180230577233079e+00,8.863787829826290654e-01
8.864453820149154950e+00,-7.235756893228897368e-01,4.887720901346596092e-01,1.056836623195768654e+00,8.731895179591305789e-01
8.965186249923577932e+00,-8.005411872420850061e-01,4.043767086222679885e-01,1.068610356237049253e+00,8.968760867294576222e-01
9.065918679697999139e+00,-8.831108814711181587e-01,3.215081503693631437e-01,1.086250057304182892e+00,9.398150454885388916e-01
9.166651109472422121e+00,-8.857798488820156635e-01,2.402015586970013272e-01,1.108584093910492951e+00,9.177705211467164226e-01
9.267383539246843327e+00,-9.172092900208571598e-01,1.344534876200849660e-01,1.127340676871498859e+00,9.270116622965264286e-01
9.368115969021266309e+00,-9.341182251809055925e-01,6.392889093712351978e-02,1.115881580614415780e+00,9.363032423908269619e-01
9.468848398795689292e+00,-9.619056678564023022e-01,-3.315941864531791322e-02,1.128932432027468735e+00,9.624770443491973415e-01
9.569580828570110498e+00,-9.745989424635812526e-01,-1.409453859039857537e-01,1.144701902337618371e+00,9.847378841391014603e-01
9.670313258344533480e+00,-9.554941559062408718e-01,-2.460867301056975098e-01,1.156218962215797230e+00,9.866751039248401467e-01
9.771045688118954686e+00,-9.319285143413944539e-01,-3.364235285564480260e-01,1.162158127027668852e+00,9.907933923926470765e-01
9.871778117893377669e+00,-9.200650135371224447e-01,-4.383054099802800585e-01,1.188883892934660791e+00,1.019132602536611421e+00
9.972510547667798875e+00,-8.969747757417808609e-01,-5.453370253641952603e-01,1.201919262610799510e+00,1.049741024991443838e+00
1.007324297744222186e+01,-8.367980439832547468e-01,-6.396874547739793693e-01,1.213973518872655255e+00,1.053295308168328059e+00
1.017397540721664484e+01,-7.758221475129694067e-01,-7.242237330132693662e-01,1.214891125937356264e+00,1.061319942350708256e+00
1.027470783699106605e+01,-7.092461777423741953e-01,-8.110963334477805375e-01,1.231379002435280423e+00,1.077454130241561892e+00
1.037544026676548903e+01,-6.361601204063834780e-01,-9.020104801518959992e-01,1.243754915903164893e+00,1.103776519545201396e+00
1.047617269653991023e+01,-5.580896159989565675e-01,-9.789147093037239289e-01,1.260603739004796386e+00,1.126826529496469220e+00
1.057690512631433322e+01,-4.703370850391247471e-01,-1.036939436586746366e+00,1.269679422745095598e+00,1.138622136053897282e+00
1.067763755608875442e+01,-3.585159381059722095e-01,-1.098321945938303790e+00,1.288289950646894555e+00,1.155354826365349918e+00
1.077836998586317740e+01,-2.508983433175853150e-01,-1.150959673531680716e+00,1.297906560065954951e+00,1.177989027442811976e+00
1.087910241563760039e+01,-1.268106513571171379e-01,-1.200887022234245372e+00,1.297207764822719822e+00,1.207563903678910533e+00
1.097983484541202159e+01,-1.831854451581932733e-02,-1.228059368444760713e+00,1.311547127282925329e+00,1.228195986599094347e+00
1.108056727518644458e+01,1.050396143155368500e-01,-1.225726160656615660e+00,1.323986647056138999e+00,1.230218655968752683e+00
1.118129970496086578e+01,2.218766492479147256e-01,-1.236090596235897010e+00,1.337291972639699233e+00,1.255846013484255730e+00
1.128203213473528876e+01,3.618247039428768574e-01,-1.235991458066614257e+00,1.361846727168618987e+00,1.287863347097426114e+00
1.138276456450970997e+01,5.029417341100230754e-01,-1.219909986435259830e+00,1.370916053269722656e+00,1.319519140791096223e+00
1.148349699428413295e+01,6.228484293257771087e-01,-1.159542762706113450e+00,1.385746861780765116e+00,1.316236902862745861e+00
1.158422942405855594e+01,7.311075152505707164e-01,-1.112244643268661681e+00,1.390260667337748890e+00,1.331017034201927851e+00
1.168496185383297714e+01,8.566968341045234636e-01,-1.051668730894381953e+00,1.399681229021316309e+00,1.356442621383489699e+00
1.178569428360740012e+01,9.892625824692622416e-01,-9.854894926820951806e-01,1.414832657345816092e+00,1.396363132304977217e+00
1.188642671338182133e+01,1.096535599039338393e+00,-8.789431957646772764e-01,1.427960649889051137e+00,1.405322547083616813e+00
1.198715914315624431e+01,1.185579309264638503e+00,-7.698330279318317260e-01,1.441378326042858093e+00,1.413591592169078259e+00
1.208789157293066552e+01,1.274708206520415610e+00,-6.558198628394709129e-01,1.458220994803390180e+00,1.433520388507005805e+00
1.218862400270508850e+01,1.356049686490844453e+00,-5.442459460212826228e-01,1.469581782154483429e+00,1.461189379236147667e+00
1.228935643247951148e+01,1.419022505439074822e+00,-4.148423931877863180e-01,1.473116141793281875e+00,1.478417763058993639e+00
1.239008886225393269e+01,1.463647681343208218e+00,-2.626331955826168851e-01,1.488127001282069983e+00,1.487024119011956858e+00
1.249082129202835567e+01,1.496226471835805594e+00,-1.048955162090350196e-01,1.498600023440860962e+00,1.499898904707574809e+00
1.259155372180277688e+01,1.532083589098263587e+00,4.427088715370003369e-02,1.503871207395915066e+00,1.532723078521881277e+00
1.269228615157719986e+01,1.537348300657933153e+00,1.932654329217264599e-01,1.527129018957565476e+00,1.549448716511216739e+00
1.279301858135162107e+01,1.512549955905838406e+00,3.354670957946234711e-01,1.533723659858745370e+00,1.549304857499528065e+00
1.289375101112604405e+01,1.460616303788581316e+00,4.883991900946822451e-01,1.549784397400668423e+00,1.540108358453442960e+00
1.299448344090046703e+01,1.425071405659834367e+00,6.504395458320000323e-01,1.551075300984431804e+00,1.566492934555223204e+00
1.309521587067488824e+01,1.355623771304554248e+00,8.050423548441900667e-01,1.565543258658704140e+00,1.576644856148353036e+00
1.319594830044931122e+01,1.282241275904684397e+00,9.424763392509623028e-01,1.581752443368434902e+00,1.591352990282661306e+00
1.329668073022373243e+01,1.181449259349603986e+00,1.054476815783941035e+00,1.598864244055031802e+00,1.583585712060944006e+00
1.339741315999815541e+01,1.069653433679107701e+00,1.164445416801651145e+00,1.612199301681012553e+00,1.581167795299371903e+00
1.349814558977257661e+01,9.602810264444654464e-01,1.278437568414917180e+00,1.625309330820655651e+00,1.598919093038757344e+00
1.359887801954699960e+01,8.187395245076900530e-01,1.377325577992442929e+00,1.635710744428371610e+00,1.602298398171606353e+00
1.369961044932142258e+01,6.596201906312744168e-01,1.438343267099057021e+00,1.635227418745599959e+00,1.582381164542104868e+00
1.380034287909584378e+01,5.087284734970165534e-01,1.488071665222203910e+00,1.655063134085897447e+00,1.572628990125702675e+00
1.390107530887026677e+01,3.721455972728729966e-01,1.536903748568730688e+00,1.670381438021167231e+00,1.581317639797330532e+00
1.400180773864468797e+01,2.259837464351246716e-01,1.568332742210276409e+00,1.687012491251790092e+00,1.584530291266676993e+00
1.410254016841911096e+01,5.729482177373221297e-02,1.564823818911522224e+00,1.693734545603674091e+00,1.565872370544586945e+00
1.420327259819353216e+01,-1.125825893954460061e-01,1.537138206701021304e+00,1.706273349076270041e+00,1.541255561526061468e+00
1.430400502796795514e+01,-2.576572398807573383e-01,1.515282510026916274e+00,1.711228670100477078e+00,1.537032315358542345e+00
1.440473745774237813e+01,-4.035106419679388989e-01,1.468244516610994976e+00,1.727495827628689362e+00,1.522682763657496885e+00
1.450546988751679933e+01,-5.396360602217364910e-01,1.405003967817000321e+00,1.740429375533893097e+00,1.505072498942543469e+00
1.460620231729122231e+01,-6.653268259345768154e-01,1.319974632795495983e+00,1.746578987471545608e+00,1.478172120063080852e+00
1.470693474706564352e+01,-7.840697017299033122e-01,1.221713708792567799e+00,1.765689859887531910e+00,1.451671341393261372e+00
1.480766717684006650e+01,-8.941515482761405176e-01,1.120563059519414040e+00,1.786079657309183721e+00,1.433585910102400884e+00
1.490839960661448771e+01,-9.926455613686034907e-01,1.005738924047278493e+00,1.796441933361364374e+00,1.413101551145057311e+00
1.500913203638891069e+01,-1.057889445103399551e+00,8.937990062653091705e-01,1.802654535760479959e+00,1.384921204134745176e+00
1.510986446616333367e+01,-1.102499690659293430e+00,7.603274626282576776e-01,1.817853742466215117e+00,1.339254799629466364e+00
1.521059689593775488e+01,-1.138827096173655962e+00,6.285225230328281842e-01,1.822023351553761161e+00,1.300756594040127778e+00
1.531132932571217786e+01,-1.183510093214959147e+00,4.915130828809816665e-01,1.837031181835601545e+00,1.281515216993090567e+00
1.541206175548659907e+01,-1.200743694228368019e+00,3.600011988818000441e-01,1.847955653672236798e+00,1.253549473465455977e+00
1.551279418526102205e+01,-1.188214837172097305e+00,2.214570794166244860e-01,1.860996975995368174e+00,1.208676026609138532e+00
1.561352661503544326e+01,-1.156842420815034078e+00,1.117943683856464643e-01,1.884377054945096663e+00,1.162231632420979155e+00
1.571425904480986624e+01,-1.128079458836375837e+00,-3.995088655268036817e-03,1.886875392479149260e+00,1.128086533109022627e+00
1.581499147458428922e+01,-1.097927104824256928e+00,-1.162231182758880765e-01,1.895256066019958885e+00,1.104061475068098597e+00
1.591572390435871043e+01,-1.028852014853941954e+00,-2.234515243860309697e-01,1.910319806739228854e+00,1.052837619112965140e+00
1.601645633413313163e+01,-9.586458067642830150e-01,-3.111226846493577169e-01,1.930937078468422108e+00,1.007868596459958521e+00
1.611718876390755639e+01,-8.862200798419763714e-01,-3.806146156721217921e-01,1.936490203681498601e+00,9.644965088471579850e-01
1.621792119368197760e+01,-8.249404733676880541e-01,-4.542148236939314021e-01,1.951250588453441459e+00,9.417207073561749686e-01
1.631865362345639880e+01,-7.649026085921253326e-01,-5.056098840151080909e-01,1.954531384687484108e+00,9.169064049535312622e-01
1.641938605323082001e+01,-6.254926169671177760e-01,-5.298592218871529536e-01,1.974962572067451516e+00,8.197510652016456456e-01
1.652011848300524477e+01,-5.268878858660805964e-01,-5.742680383468854455e-01,1.962574806331261135e+00,7.793552618281395228e-01
1.662085091277966598e+01,-4.379878142498947469e-01,-6.914341795803204960e-01,1.968028638384458295e+00,8.184830787031037724e-01
1.672158334255408718e+01,-4.927635421356170164e-01,-7.253840819162492570e-01,2.043459977782251080e+00,8.769252959947727577e-01
1.682231577232851194e+01,-3.226241439481742912e-01,-6.542965517414784937e-01,1.977169293289334995e+00,7.295137530431359263e-01
1.692304820210293315e+01,-3.740649161361000452e-01,-5.828452365154902504e-01,2.164585956197276673e+00,6.925555076762478501e-01
1.702378063187735435e+01,-1.157330418737071709e-01,-6.293984844238554865e-01,2.087682355137093104e+00,6.399504583765742716e-01
1.712451306165177556e+01,-1.293405898768574536e-01,-7.192362140657586611e-01,2.053631841967314298e+00,7.307733710346453471e-01
1.722524549142620032e+01,-1.227647521439854082e-03,-6.217465697618864695e-01,2.051574509794328094e+00,6.217477817645264970e-01
1.732597792120062152e+01,2.936768195222170391e-02,-5.538054850820599562e-01,2.097775605490878270e+00,5.545836060056432704e-01
1.742671035097504273e+01,9.940615669640560925e-02,-5.260888270490535756e-01,2.016381429828120631e+00,5.353980182397011234e-01
1.752744278074946749e+01,2.103312416204827229e-01,-5.851390385294171770e-01,2.242461661354969493e+00,6.217933142232591193e-01
1.762817521052388869e+01,2.461395414194970099e-01,-4.764305433004890622e-01,2.180448032689472626e+00,5.362562227515867974e-01
1.772890764029830990e+01,3.291340650680649738e-01,-2.798107463797286920e-01,2.131725398724198861e+00,4.319991742790836309e-01
1.782964007007273111e+01,1.201736477709531847e-01,-3.267250597382931332e-01,2.165127562947666728e+00,3.481249348719053227e-01
1.793037249984715586e+01,6.151289471252735508e-02,-3.453499607637010582e-01,2.046990562643747680e+00,3.507854495491572466e-01
1.803110492962157707e+01,4.599647449538356581e-01,-7.448727538069561671e-01,2.035906710100650940e+00,8.754444505303607960e-01
1.813183735939599828e+01,2.704678237699738030e-01,-4.576568060947475702e-01,2.188039546008729630e+00,5.316037959417811987e-01
1.823256978917042304e+01,3.401837790374359627e-01,-1.588777269277540372e-01,2.214908630568386272e+00,3.754559037142990996e-01
1.833330221894484424e+01,3.728012466802756997e-01,-1.914984841395392934e-01,2.328431209948048863e+00,4.191091014928083891e-01
1.843403464871926545e+01,5.630540742758717299e-01,-2.026649323040002060e-01,2.298106789872830014e+00,5.984170496772663883e-01
1.853476707849368665e+01,6.003906780842671598e-01,-1.087190123137553310e-01,2.197962744344370556e+00,6.101547262530747640e-01
1.863549950826811141e+01,4.249074877368389513e-01,-2.387251123835701927e-01,2.090533233759506171e+00,4.873767048365977850e-01
1.873623193804253262e+01,2.620820997574376254e-01,-8.530641934892010947e-02,2.193865351914023876e+00,2.756160593931371583e-01
1.883696436781695382e+01,5.237782465302738277e-01,9.282681654285640516e-02,2.191821986697019664e+00,5.319402874456957697e-01
1.893769679759137858e+01,7.181921761798615300e-01,1.670336409928944443e-01,2.297436860514011414e+00,7.373603183988872711e-01
1.903842922736579979e+01,5.528951221512451442e-01,1.124512731341649474e-01,2.348148225329071082e+00,5.642147684420666387e-01
1.913916165714022100e+01,3.669892881736536161e-01,4.832681369513289887e-02,2.339379029390696196e+00,3.701575590962976059e-01
1.923989408691464220e+01,4.066069204059063469e-01,1.699964867659339851e-01,2.195562413528130641e+00,4.407130509013040265e-01
1.934062651668906696e+01,6.330609171072759667e-01,4.256644377892315756e-01,2.264339132009644651e+00,7.628606284028085494e-01
1.944135894646348817e+01,5.605788744050160810e-01,3.022943449441032882e-01,2.231914885955908812e+00,6.368913136590726998e-01
1.954209137623790937e+01,4.319991570011826321e-01,3.324816777245652721e-01,2.382783199158128085e+00,5.451305693797350305e-01
1.964282380601233413e+01,5.224718242111049404e-01,2.963196156416714744e-01,2.340336523842560634e+00,6.006514144730765725e-01
1.974355623578675534e+01,4.590862151279631598e-01,5.503608077618910022e-01,2.342315580911062511e+00,7.166988011995273355e-01
1.984428866556117654e+01,4.193261720391581737e-01,7.058438634483951146e-01,2.320112201864363843e+00,8.210054799602559683e-01
1.994502109533559775e+01,2.302885602867758008e-01,6.334968646632905820e-01,2.358767063808000497e+00,6.740557087787146795e-01
2.004575352511002251e+01,2.288201360515005889e-01,6.184753914196233771e-01,2.307421600600397582e+00,6.594470899581584833e-01
2.014648595488444371e+01,2.063623108079761792e-01,6.221752881521971368e-01,2.445249442950158780e+00,6.555055243926456443e-01
2.024721838465886492e+01,1.496557620245444475e-01,7.247473081691575558e-01,2.449103401906765232e+00,7.400375043236572248e-01
2.034795081443328968e+01,1.112305352582745738e-01,7.978741518699047353e-01,2.404077625269060103e+00,8.055900906763699965e-01
2.044868324420771089e+01,-1.550749264273959538e-02,6.954306221393334875e-01,2.482458401800447856e+00,6.956035023899499459e-01
2.054941567398213209e+01,-1.694279907872197621e-01,7.126703521823924969e-01,2.450249175202130036e+00,7.325331903347244156e-01
2.065014810375655330e+01,-2.320315734189682400e-01,7.695040656806017010e-01,2.475365340254905622e+00,8.037257978703046257e-01
2.075088053353097806e+01,-2.699361973693331640e-01,8.261659447341944684e-01,2.459548292856251539e+00,8.691465462675208586e-01
2.085161296330539926e+01,-3.040864192297021429e-01,7.457547419683306922e-01,2.472809889229880653e+00,8.053686643570097115e-01
2.095234539307982047e+01,-3.599711915993457079e-01,6.434733478093843662e-01,2.505439703748502556e+00,7.373175761654334748e-01
2.105307782285424523e+01,-4.426650820001535869e-01,5.916787069511602049e-01,2.482999797058979219e+00,7.389425330034803396e-01
2.115381025262866643e+01,-5.440753169149411539e-01,6.617580369310926969e-01,2.544768727955220911e+00,8.567039453154088324e-01
2.125454268240308764e+01,-6.718009228667891630e-01,5.534122802164271882e-01,2.549573408083043891e+00,8.703916542907652598e-01
2.135527511217750884e+01,-6.310350387401739702e-01,4.642217929939544963e-01,2.566993625227357079e+00,7.833945961061608010e-01
2.145600754195193360e+01,-6.475743954163508675e-01,3.874709430658344056e-01,2.574387306972632405e+00,7.546431801316297872e-01
2.155673997172635481e+01,-7.056865503605751488e-01,3.533280982441925899e-01,2.568970284647082103e+00,7.891984873076395290e-01
2.165747240150077602e+01,-8.219669313780400000e-01,2.725717768085803017e-01,2.564473972194643459e+00,8.659821070851394520e-01
2.175820483127520077e+01,-8.057051401824734116e-01,1.610435630426854392e-01,2.662801229840854322e+00,8.216421374990102722e-01
2.185893726104962198e+01,-7.825417522929608571e-01,1.415387766514172863e-01,2.613984974557756136e+00,7.952388442334274998e-01
2.195966969082404319e+01,-7.929379993510616842e-01,5.682566628208048781e-02,2.621213082164405073e+00,7.949715889031926386e-01
2.206040212059846439e+01,-8.488396816323724448e-01,-1.462403336441971471e-02,2.631671256786546120e+00,8.489656456333147805e-01
2.216113455037288915e+01,-8.697537737002809521e-01,-1.514696148866544745e-01,2.625279311837469987e+00,8.828446472057193128e-01
2.226186698014731036e+01,-7.691831184747816019e-01,-2.403993242667112062e-01,2.625612786312074398e+00,8.058749933175003433e-01
2.236259940992173156e+01,-7.613916338949970886e-01,-2.898260401060958058e-01,2.675484518441723747e+00,8.146878872849856457e-01
2.246333183969615632e+01,-8.009333824651768685e-01,-3.504510292755838030e-01,2.715123871274941258e+00,8.742483669229388354e-01
2.256406426947057753e+01,-7.495918006934240152e-01,-4.698250183629014698e-01,2.739504888255893889e+00,8.846600564886551998e-01
2.266479669924499873e+01,-6.386456806282020393e-01,-4.496252254508685819e-01,2.732199374304034922e+00,7.810449082778810892e-01
2.276552912901941994e+01,-5.366762484123557275e-01,-5.601920507830829843e-01,2.739670585673915859e+00,7.757812380887518788e-01
2.286626155879384470e+01,-4.818117302533535540e-01,-6.077711454079616216e-01,2.717124775962971750e+00,7.755825607891373430e-01
2.296699398856826591e+01,-4.807581635707602330e-01,-7.193799330294641248e-01,2.763844945392073704e+00,8.652374817848601518e-01
